#1:StepCounter[lambda=10] 2:tau[lambda=10] 3:T(\tau)[lambda=10] 4:wTilde[lambda=10]
23150 99.4588 0.125493 0.999603
23250 102.685 0.124287 1.02211
23300 104.342 0.123686 1.03358
23400 107.733 0.122492 1.05687
23500 111.241 0.121306 1.08071
23600 114.879 0.120124 1.10518
23700 118.642 0.11895 1.13023
23750 120.572 0.118366 1.14298
23850 124.536 0.117202 1.16895
23950 128.635 0.116047 1.19552
24050 132.879 0.114899 1.22275
24150 137.271 0.113758 1.25062
24200 139.524 0.113191 1.2648
24300 144.155 0.11206 1.29373
24400 148.942 0.110938 1.32331
24500 153.91 0.109821 1.35367
24550 156.456 0.109265 1.36911
24650 161.687 0.10816 1.40057
24750 167.104 0.107062 1.4328
24850 172.7 0.105974 1.46573
24950 178.489 0.104894 1.49943
25000 181.455 0.104358 1.51656
25100 187.557 0.10329 1.55151
25200 193.871 0.102229 1.58728
25300 200.408 0.101177 1.6239
25400 207.172 0.100133 1.66138
25450 210.648 0.0996126 1.68049
25550 217.766 0.0985814 1.71929
25650 225.141 0.0975571 1.75905
25750 232.771 0.0965415 1.79973
25800 236.684 0.0960369 1.82042
25900 244.735 0.0950316 1.86263
26000 253.058 0.0940357 1.9058
26100 261.415 0.0930769 1.94866
26200 270.32 0.0920977 1.99384
26250 274.89 0.091611 2.01683
26350 284.267 0.090644 2.06362
26450 293.965 0.0896859 2.11146
26550 304.02 0.0887345 2.16052
26600 309.178 0.0882621 2.18548
26700 319.741 0.0873252 2.23615
26750 325.149 0.0868609 2.26188
26850 336.284 0.0859353 2.31442
26900 341.998 0.0854755 2.34115
27000 353.719 0.0845625 2.39552
27050 359.723 0.0841097 2.42314
27100 365.821 0.0836598 2.45103
27200 378.361 0.0827643 2.50792
27250 384.795 0.0823195 2.53686
27300 391.338 0.0818769 2.56612
27350 397.991 0.0814366 2.59571
27450 411.628 0.080563 2.65585
27500 418.634 0.0801286 2.68649
27550 425.745 0.0796972 2.71742
27600 432.982 0.0792676 2.74871
27650 440.342 0.0788401 2.78036
27700 447.831 0.0784146 2.81238
27750 455.449 0.077991 2.84478
27850 471.069 0.0771507 2.91064
27900 479.087 0.0767331 2.94416
27950 487.238 0.0763179 2.97804
28000 495.529 0.0759046 3.01232
28050 503.955 0.0754937 3.04696
28100 512.523 0.0750849 3.08198
28100 512.523 0.0750849 3.08198
28150 521.24 0.0746781 3.11742
28200 530.114 0.0742728 3.15328
28250 539.118 0.0738706 3.18947
28300 548.28 0.0734701 3.22609
28350 557.61 0.0730711 3.26317
28400 567.09 0.0726746 3.30064
28450 576.736 0.0722797 3.33855
28500 586.563 0.0718863 3.37695
28500 586.563 0.0718863 3.37695
28550 596.541 0.0714954 3.41572
28600 606.691 0.0711065 3.45494
28650 617.004 0.0707199 3.49457
28700 627.499 0.070335 3.53467
28700 627.499 0.070335 3.53467
28750 638.159 0.0699525 3.57516
28800 648.988 0.0695725 3.61608
28850 660.056 0.0691924 3.65766
28900 671.281 0.0688154 3.69959
28900 671.281 0.0688154 3.69959
28950 682.691 0.0684405 3.74198
29000 694.303 0.0680672 3.78487
29000 694.303 0.0680672 3.78487
29050 706.121 0.0676957 3.82828
29100 718.132 0.0673262 3.87215
29100 718.132 0.0673262 3.87215
29150 730.351 0.0669586 3.91653
29200 742.774 0.0665929 3.96139
29200 742.774 0.0665929 3.96139
